BPigMad00037_Library1_Lane1       ILLUMINA  11  ILLUMINA  33
BPigTan00039_Library1_Lane1       ILLUMINA  11  ILLUMINA  33
BPigTan00040_Library1_Lane1       ILLUMINA  14  ILLUMINA  15
BPigTan00041_Library1_Lane1       ILLUMINA  19  ILLUMINA  18
BPigTan00042_Library1_Lane1       ILLUMINA  16  ILLUMINA  18
BPigTan00043_Library1_Lane1       ILLUMINA  16  ILLUMINA  18
BPigUga00001_Library1_Lane1       BGI       32  BGI       42
BPigUga00002_Library1_Lane1       BGI       32  BGI       42
BPigUga00003_Library1_Lane1       BGI       32  BGI       42
BPigUga00004_Library1_Lane1       BGI       32  BGI       42
BPigUga00005_Library1_Lane1       BGI       32  BGI       42
CWarGha00064_Library1_Lane1       ILLUMINA  11  ILLUMINA  33
CWarGha00089_Library1_Lane1       ILLUMINA  16  ILLUMINA  18
CWarGha00090_Library1_Lane1       ILLUMINA  14  ILLUMINA  18
CWarGha00091_Library1_Lane1       ILLUMINA  9   ILLUMINA  18
CWarGha00092_Library1_Lane1       ILLUMINA  16  ILLUMINA  18
CWarGha00093_Library1_Lane1       ILLUMINA  21  ILLUMINA  18
CWarGha00094_Library1_Lane1       ILLUMINA  14  ILLUMINA  18
CWarGha00095_Library1_Lane1       ILLUMINA  16  ILLUMINA  15
CWarGha00096_Library1_Lane1       ILLUMINA  14  ILLUMINA  18
CWarGha00097_Library1_Lane1       ILLUMINA  11  ILLUMINA  15
CWarGha00098_Library1_Lane1       ILLUMINA  16  ILLUMINA  18
CWarGha00099_Library1_Lane1       ILLUMINA  19  ILLUMINA  18
CWarGha00100_Library1_Lane1       ILLUMINA  16  ILLUMINA  18
CWarGha00101_Library1_Lane1       ILLUMINA  14  ILLUMINA  18
CWarGha00102_Library1_Lane1       ILLUMINA  19  ILLUMINA  18
CWarGha00103_Library1_Lane1       ILLUMINA  16  ILLUMINA  18
CWarKen00066_Library1_Lane1       ILLUMINA  11  ILLUMINA  33
CWarKen00105_Library1_Lane1       ILLUMINA  19  ILLUMINA  18
CWarKen00106_Library1_Lane1       ILLUMINA  16  ILLUMINA  18
CWarKen00108_Library1_Lane1       ILLUMINA  9   ILLUMINA  18
CWarKen00109_Library1_Lane1       ILLUMINA  9   ILLUMINA  15
CWarKen00110_Library1_Lane1       ILLUMINA  14  ILLUMINA  15
CWarKen00111_Library1_Lane1       ILLUMINA  9   ILLUMINA  15
CWarKen00112_Library1_Lane1       ILLUMINA  9   ILLUMINA  15
CWarKen00113_Library1_Lane1       ILLUMINA  24  ILLUMINA  18
CWarKen00114_Library1_Lane1       ILLUMINA  14  ILLUMINA  18
CWarNam00062_Library1_Lane1       ILLUMINA  11  ILLUMINA  33
CWarNam00067_Library1_Lane1       ILLUMINA  9   ILLUMINA  15
CWarNam00068_Library1_Lane1       ILLUMINA  33  ILLUMINA  20
CWarNam00069_Library1_Lane1       ILLUMINA  9   ILLUMINA  15
CWarNam00074_Library1_Lane1       ILLUMINA  9   ILLUMINA  18
CWarNam00104_Library1_Lane1       ILLUMINA  16  ILLUMINA  15
CWarNam00115_Library1_Lane1       ILLUMINA  9   ILLUMINA  18
CWarTan00065_Library1_Lane1       ILLUMINA  11  ILLUMINA  33
CWarTan00075_Library1_Lane1       ILLUMINA  16  ILLUMINA  18
CWarTan00076_Library1_Lane1       ILLUMINA  31  ILLUMINA  20
CWarTan00077_Library1_Lane1       ILLUMINA  9   ILLUMINA  15
CWarTan00078_Library1_Lane1       ILLUMINA  16  ILLUMINA  15
CWarTan00079_Library1_Lane1       ILLUMINA  16  ILLUMINA  15
CWarTan00080_Library1_Lane1       ILLUMINA  16  ILLUMINA  15
CWarTan00081_Library1_Lane1       ILLUMINA  24  ILLUMINA  18
CWarTan00082_Library1_Lane1       ILLUMINA  16  ILLUMINA  18
CWarTan00083_Library1_Lane1       ILLUMINA  16  ILLUMINA  15
CWarTan00084_Library1_Lane1       ILLUMINA  16  ILLUMINA  15
CWarTan00085_Library1_Lane1       ILLUMINA  16  ILLUMINA  18
CWarTan00107_Library1_Lane1       ILLUMINA  33  ILLUMINA  20
CWarUga00044_Library1_Lane1       BGI       32  BGI       42
CWarUga00045_Library1_Lane1       BGI       32  BGI       42
CWarUga00046_Library1_Lane1       BGI       32  BGI       42
CWarUga00047_Library1_Lane1       BGI       32  BGI       42
CWarUga00048_Library1_Lane1       BGI       32  BGI       42
CWarUga00049_Library1_Lane1       BGI       32  BGI       42
CWarUga00050_Library1_Lane1       BGI       32  BGI       42
CWarUga00051_Library1_Lane1       BGI       32  BGI       42
CWarUga00052_Library1_Lane1       BGI       32  BGI       42
CWarUga00053_Library1_Lane1       BGI       32  BGI       42
CWarUga00054_Library1_Lane1       BGI       32  BGI       42
CWarUga00055_Library1_Lane1       BGI       32  BGI       42
CWarUga00056_Library1_Lane1       BGI       32  BGI       42
CWarUga00057_Library1_Lane1       BGI       32  BGI       42
CWarUga00058_Library1_Lane1       BGI       32  BGI       42
CWarUga00059_Library1_Lane1       BGI       32  BGI       42
CWarUga00060_Library1_Lane1       BGI       32  BGI       42
CWarZam00063_Library1_Lane1       ILLUMINA  11  ILLUMINA  33
CWarZim00061_Library1_Lane1       ILLUMINA  11  ILLUMINA  33
CWarZim00070_Library1_Lane1       ILLUMINA  16  ILLUMINA  18
CWarZim00071_Library1_Lane1       ILLUMINA  14  ILLUMINA  18
CWarZim00072_Library1_Lane1       ILLUMINA  16  ILLUMINA  18
CWarZim00073_Library1_Lane1       ILLUMINA  9   ILLUMINA  15
